                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.483,                 2.7746,                 1.5764,                0.00733,                 0.6875,                0.35998,                0.12762,                 1.6178,                 2.9974,                  1.595,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0501,                 2.5691,                 1.2935,                0.00733,                 0.6875,                0.42615,                0.15732,                 1.6814,                 3.0188,                 1.6173,             0.00013861,             0.00013861,             0.00013861
                      3,                 0.9438,                 2.3029,                 1.1877,                0.00733,                 0.6875,                0.42298,                0.18779,                 1.8316,                 3.0221,                 1.8822,             0.00021564,             0.00021564,             0.00021564
                      4,                0.93068,                 2.0795,                 1.1694,                0.00733,                 0.6875,                0.41005,                0.18674,                 1.6953,                 2.9462,                 2.1145,             0.00029109,             0.00029109,             0.00029109
                      5,                  0.972,                 1.8576,                 1.2745,                0.00733,                 0.6875,                0.40147,                 0.1206,                 1.8613,                 3.0072,                 2.0775,             0.00036495,             0.00036495,             0.00036495
                      6,                0.79924,                  1.628,                  1.097,                0.00733,                 0.6875,                0.42885,                 0.1826,                 1.8358,                 2.9821,                 2.1495,             0.00043723,             0.00043723,             0.00043723
                      7,                0.90119,                  1.504,                 1.1619,                  0.008,                   0.75,                0.44457,                0.27187,                 1.5292,                 2.9218,                 1.8106,             0.00050792,             0.00050792,             0.00050792
                      8,                  0.948,                 1.4321,                 1.1696,                0.53537,                 0.4375,                0.44064,                0.19014,                 2.0888,                 3.1692,                 2.2708,             0.00057703,             0.00057703,             0.00057703
                      9,                0.95472,                 1.3366,                 1.2213,                0.36619,                0.07482,                0.24602,                0.10828,                 2.5304,                  3.128,                 2.7487,             0.00064456,             0.00064456,             0.00064456
                     10,                0.85801,                 1.1833,                 1.1389,                0.89649,                 0.1875,                0.36325,                0.12964,                 2.5471,                 2.9303,                 2.8806,              0.0007105,              0.0007105,              0.0007105
                     11,                0.98981,                 1.2156,                 1.2353,                0.64866,                0.23312,                0.32066,                0.13611,                  2.744,                 3.1741,                  2.803,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.0604,                 1.2371,                 1.2395,                0.42532,                 0.1875,                0.14479,                0.06088,                 2.6022,                 2.9527,                 2.6111,             0.00083763,             0.00083763,             0.00083763
                     13,                 0.9966,                 1.2605,                  1.203,                0.19811,                  0.125,                0.11784,                0.06119,                 2.8928,                 3.2458,                  2.873,             0.00089882,             0.00089882,             0.00089882
                     14,                0.94863,                 1.1579,                 1.1756,                0.43935,                 0.1875,                0.15393,                0.06436,                 2.8664,                 3.3718,                 2.8788,             0.00095843,             0.00095843,             0.00095843
                     15,                0.89162,                 1.0697,                  1.121,                0.41197,                0.30697,                0.22866,                0.07546,                 2.5183,                 3.0302,                  2.476,              0.0010165,              0.0010165,              0.0010165
                     16,                0.79342,                0.98835,                 1.1039,                0.67677,                 0.1875,                0.23641,                0.08292,                 2.3034,                 2.8305,                 2.2056,              0.0010729,              0.0010729,              0.0010729
                     17,                0.87072,                 1.0288,                 1.1547,                0.37922,                   0.25,                0.21689,                0.09905,                 2.1476,                 2.8403,                 2.0843,              0.0011277,              0.0011277,              0.0011277
                     18,                0.90853,                 1.0347,                  1.164,                0.92675,                   0.25,                0.37023,                0.18477,                 1.9354,                  2.424,                 2.0843,               0.001181,               0.001181,               0.001181
                     19,                0.90213,                 1.0232,                 1.1189,                0.94076,                 0.1875,                0.25961,                0.16795,                 2.0409,                 2.6784,                 2.0205,              0.0012327,              0.0012327,              0.0012327
                     20,                 0.8452,                 1.0053,                 1.1307,                0.29058,                 0.0625,                0.06198,                0.02825,                  2.438,                 3.1668,                 2.3451,              0.0012828,              0.0012828,              0.0012828
                     21,                0.83325,                 0.9899,                 1.1043,                0.53694,                0.29155,                0.28609,                0.11407,                 2.5098,                 3.0139,                 2.4063,              0.0013313,              0.0013313,              0.0013313
                     22,                0.90713,                 1.0236,                 1.1116,                0.32729,                0.18297,                0.20879,                0.07287,                  2.604,                 2.9291,                 2.4177,              0.0013783,              0.0013783,              0.0013783
                     23,                0.87005,                0.96764,                 1.1116,                0.41562,                0.31126,                0.19366,                0.08181,                 2.7119,                 2.8016,                 2.6035,              0.0014236,              0.0014236,              0.0014236
                     24,                0.91636,                 1.0206,                 1.1569,                0.78068,                   0.25,                 0.2753,                0.15932,                 2.1955,                 2.5387,                 2.3601,              0.0014674,              0.0014674,              0.0014674
                     25,                0.98585,                 1.1545,                 1.2233,                0.34177,                 0.1875,                 0.2419,                0.14813,                 2.0986,                 2.7965,                 2.3236,              0.0015096,              0.0015096,              0.0015096
                     26,                0.85705,                0.93135,                 1.0677,                0.45404,                 0.1875,                0.26859,                0.13866,                  2.591,                 2.8401,                 2.4899,               0.001505,               0.001505,               0.001505
                     27,                0.95978,                 1.0984,                 1.1585,                0.25451,                0.27826,                0.22871,                0.10823,                 2.7297,                  2.876,                 2.7222,              0.0014852,              0.0014852,              0.0014852
                     28,                0.91033,                0.96161,                 1.1055,                0.47921,                  0.375,                0.26273,                0.11877,                 2.5685,                 2.6373,                 2.4753,              0.0014654,              0.0014654,              0.0014654
                     29,                  0.836,                0.93866,                 1.0803,                0.57258,                 0.3125,                 0.2865,                 0.1051,                 2.3615,                 2.6645,                 2.2364,              0.0014456,              0.0014456,              0.0014456
                     30,                0.83486,                0.89837,                 1.0665,                 0.7839,                 0.3125,                  0.364,                0.13676,                 2.2165,                 2.4256,                 2.1695,              0.0014258,              0.0014258,              0.0014258
                     31,                0.77023,                0.89765,                 1.0652,                0.48077,                  0.375,                0.28655,                0.11019,                  2.247,                 2.6483,                 2.1319,               0.001406,               0.001406,               0.001406
                     32,                0.77755,                 0.9203,                 1.0543,                0.39957,                 0.1875,                0.12299,                0.04703,                 2.5224,                 3.1006,                 2.4856,              0.0013862,              0.0013862,              0.0013862
                     33,                0.86171,                0.93504,                 1.1455,                0.36751,                   0.25,                0.15849,                0.07294,                 2.4853,                 2.9474,                 2.4573,              0.0013664,              0.0013664,              0.0013664
                     34,                0.81956,                0.87846,                 1.0721,                0.79293,                  0.375,                0.37669,                0.14516,                 2.2861,                 2.5543,                 2.2869,              0.0013466,              0.0013466,              0.0013466
                     35,                0.81133,                0.86767,                 1.0897,                0.71411,                0.31227,                0.25173,                  0.108,                 2.4113,                 3.0373,                 2.3953,              0.0013268,              0.0013268,              0.0013268
                     36,                0.73036,                0.80543,                 1.0595,                0.35308,                   0.25,                0.14728,                0.08044,                 2.9892,                 3.1284,                 3.0229,               0.001307,               0.001307,               0.001307
                     37,                0.77483,                0.83143,                  1.089,                0.35494,                0.30972,                0.14514,                0.04694,                 2.8123,                 3.0939,                 2.7855,              0.0012872,              0.0012872,              0.0012872
                     38,                0.75631,                0.79743,                 1.0587,                0.34694,                   0.25,                0.12165,                0.05073,                 2.6638,                 3.2611,                 2.7065,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.7894,                0.86676,                 1.0851,                0.26317,                 0.1875,                0.09415,                0.05599,                 2.5416,                 3.1915,                 2.5539,              0.0012476,              0.0012476,              0.0012476
                     40,                0.78857,                0.84505,                  1.098,                0.19688,                 0.1875,                 0.1513,                0.08512,                 2.7137,                 2.8219,                 2.6079,              0.0012278,              0.0012278,              0.0012278
                     41,                0.65534,                0.76353,                 1.0125,                 0.3407,                 0.3125,                0.25119,                0.10754,                 2.8805,                 2.6487,                 2.6544,               0.001208,               0.001208,               0.001208
                     42,                0.70399,                0.74717,                 1.0359,                0.48748,                  0.375,                0.36902,                0.12731,                 2.7178,                 2.3267,                 2.5675,              0.0011882,              0.0011882,              0.0011882
                     43,                0.78118,                0.80987,                 1.0963,                0.64059,                  0.375,                0.38474,                0.18158,                 2.5084,                 2.1338,                 2.3943,              0.0011684,              0.0011684,              0.0011684
                     44,                0.72287,                0.80453,                 1.0595,                 0.5271,                 0.4375,                0.43701,                0.25715,                 2.0464,                 1.9289,                 2.0941,              0.0011486,              0.0011486,              0.0011486
                     45,                0.79121,                 0.7844,                 1.0582,                0.56538,                 0.4375,                0.39023,                0.24417,                 2.0971,                 1.8473,                 2.3217,              0.0011288,              0.0011288,              0.0011288
                     46,                0.73698,                0.78595,                 1.0275,                0.32415,                0.54013,                0.32656,                0.18874,                 2.0291,                 2.4517,                 2.1462,               0.001109,               0.001109,               0.001109
                     47,                0.74524,                 0.7745,                 1.0546,                0.42413,                0.36869,                0.30167,                0.18641,                 2.1189,                  2.465,                 2.1438,              0.0010892,              0.0010892,              0.0010892
                     48,                0.62436,                0.65706,                0.98229,                0.61227,                 0.3125,                0.29732,                0.18833,                 2.0233,                 2.4863,                  2.077,              0.0010694,              0.0010694,              0.0010694
                     49,                0.69993,                0.72963,                 1.0225,                0.40796,                 0.4375,                0.32515,                0.19636,                 2.0032,                 2.1932,                 2.1879,              0.0010496,              0.0010496,              0.0010496
                     50,                0.65801,                0.70024,                 1.0502,                0.67134,                 0.3125,                0.32783,                0.18586,                 2.0851,                 2.1455,                 2.2254,              0.0010298,              0.0010298,              0.0010298
                     51,                0.77108,                 0.7596,                  1.069,                0.37994,                  0.375,                0.28538,                0.16353,                 2.1275,                  2.395,                 2.2841,                0.00101,                0.00101,                0.00101
                     52,                0.59524,                0.67748,                0.98625,                0.44954,                  0.375,                0.32838,                0.17547,                  2.048,                 2.3688,                 2.0494,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.6762,                0.69694,                 1.0153,                0.64918,                    0.5,                0.42092,                0.23165,                 2.1018,                 1.9848,                 2.1095,              0.0009704,              0.0009704,              0.0009704
                     54,                0.69487,                0.75713,                 1.0383,                0.74981,                0.56196,                0.53965,                0.32778,                 1.9342,                 1.5973,                 2.0289,              0.0009506,              0.0009506,              0.0009506
                     55,                0.72195,                0.71576,                 1.0382,                0.76197,                0.60139,                0.60123,                0.36914,                 1.7479,                 1.4994,                 1.8467,              0.0009308,              0.0009308,              0.0009308
                     56,                0.66051,                0.66773,                0.98097,                0.97577,                  0.625,                0.65311,                0.34369,                 1.7642,                 1.6525,                 1.8667,               0.000911,               0.000911,               0.000911
                     57,                0.67118,                0.68824,                 1.0424,                0.97712,                  0.625,                0.64159,                0.31436,                 1.8672,                 1.6442,                 1.9285,              0.0008912,              0.0008912,              0.0008912
                     58,                0.69937,                0.69671,                 1.0419,                0.98562,                  0.625,                0.67693,                 0.3097,                 1.8996,                 1.4428,                 1.8804,              0.0008714,              0.0008714,              0.0008714
                     59,                0.61659,                 0.6713,                 1.0061,                0.98535,                  0.625,                0.66741,                0.34011,                 1.9157,                 1.3862,                 1.9672,              0.0008516,              0.0008516,              0.0008516
                     60,                0.72508,                0.70553,                 1.0603,                0.93865,                  0.625,                0.66741,                0.34394,                 1.9834,                 1.4518,                 2.0309,              0.0008318,              0.0008318,              0.0008318
                     61,                0.62298,                0.67032,                0.98461,                0.89293,                  0.625,                0.61738,                0.32178,                 1.8776,                 1.4287,                    1.9,               0.000812,               0.000812,               0.000812
                     62,                0.67839,                0.70985,                 1.0216,                0.89447,                  0.625,                0.62462,                0.34137,                 1.9006,                 1.4236,                 1.8505,              0.0007922,              0.0007922,              0.0007922
                     63,                0.72812,                0.71077,                  1.033,                0.88998,                 0.5625,                0.62179,                0.36014,                 1.7468,                 1.4092,                  1.828,              0.0007724,              0.0007724,              0.0007724
                     64,                0.66568,                0.67879,                 1.0011,                0.98715,                  0.625,                0.65736,                0.37274,                 1.7582,                 1.3906,                 1.8318,              0.0007526,              0.0007526,              0.0007526
                     65,                0.65892,                0.64132,                  1.023,                0.95881,                  0.625,                 0.6584,                0.37787,                 1.7931,                 1.3643,                 1.8396,              0.0007328,              0.0007328,              0.0007328
                     66,                0.59751,                0.58677,                0.96664,                0.95531,                 0.5625,                0.64644,                0.34819,                 1.8956,                 1.4763,                  2.028,               0.000713,               0.000713,               0.000713
                     67,                 0.6881,                0.69326,                 1.0287,                0.76486,                0.61078,                0.60159,                0.32044,                 1.8085,                 1.4257,                 1.9994,              0.0006932,              0.0006932,              0.0006932
                     68,                0.64952,                0.63945,                0.98884,                0.70449,                  0.625,                 0.6175,                0.33606,                 1.8159,                 1.4454,                 2.0331,              0.0006734,              0.0006734,              0.0006734
                     69,                0.56297,                0.63166,                0.95556,                0.84613,                    0.5,                0.58678,                0.30936,                 1.9187,                   1.52,                 2.1162,              0.0006536,              0.0006536,              0.0006536
                     70,                0.56777,                0.57024,                0.97671,                 0.7756,                    0.5,                0.56039,                0.26544,                 2.0435,                 1.6289,                 2.1753,              0.0006338,              0.0006338,              0.0006338
                     71,                0.62236,                0.61136,                 1.0048,                0.78556,                    0.5,                0.56881,                0.27336,                 2.0187,                 1.6258,                 2.1357,               0.000614,               0.000614,               0.000614
                     72,                0.65999,                0.65527,                0.99415,                0.87296,                    0.5,                 0.6397,                0.29943,                 1.8702,                 1.4943,                 2.0829,              0.0005942,              0.0005942,              0.0005942
                     73,                0.50715,                0.63746,                0.98347,                0.76564,                0.61332,                0.59888,                0.30497,                 1.8569,                 1.4906,                 2.0354,              0.0005744,              0.0005744,              0.0005744
                     74,                0.57328,                0.56903,                0.96533,                0.74305,                 0.5625,                0.56339,                0.30545,                 1.8219,                 1.5033,                  2.101,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.5591,                0.59677,                0.96673,                0.80368,                 0.5625,                 0.5011,                0.28391,                 1.8585,                 1.5723,                 2.1252,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.5165,                0.54619,                0.96126,                0.79724,                 0.5625,                0.50776,                0.27445,                 1.8827,                 1.7671,                 2.1172,               0.000515,               0.000515,               0.000515
                     77,                0.57419,                0.58151,                 0.9937,                0.74643,                0.55269,                0.49379,                0.26406,                 1.8829,                 1.8932,                 2.0048,              0.0004952,              0.0004952,              0.0004952
                     78,                0.52479,                 0.5403,                0.93537,                0.71845,                 0.5625,                0.50265,                0.28057,                 1.8845,                 1.8251,                 1.9967,              0.0004754,              0.0004754,              0.0004754
                     79,                0.54154,                0.57994,                0.98458,                0.81802,                0.56195,                 0.5197,                0.30879,                 1.7864,                 1.7546,                 1.8676,              0.0004556,              0.0004556,              0.0004556
                     80,                0.50127,                0.52317,                 0.9716,                 0.7925,                 0.5625,                 0.5344,                0.34209,                 1.6522,                 1.6156,                 1.7238,              0.0004358,              0.0004358,              0.0004358
                     81,                0.55025,                0.58757,                 0.9703,                0.81186,                 0.5625,                0.53426,                 0.3532,                 1.6271,                 1.6079,                 1.6877,               0.000416,               0.000416,               0.000416
                     82,                0.47151,                0.51053,                0.96349,                0.80502,                 0.5625,                0.53426,                0.33546,                 1.7062,                 1.6553,                 1.7468,              0.0003962,              0.0003962,              0.0003962
                     83,                0.57302,                0.57258,                 1.0015,                0.80524,                 0.5625,                0.53425,                0.31299,                 1.7446,                 1.7296,                  1.791,              0.0003764,              0.0003764,              0.0003764
                     84,                0.51745,                0.55373,                0.93112,                0.66085,                    0.5,                0.48766,                0.28561,                 1.7655,                 1.7776,                 1.7991,              0.0003566,              0.0003566,              0.0003566
                     85,                0.52979,                0.53794,                0.95859,                 0.6283,                 0.5625,                0.49008,                0.29028,                 1.8054,                 1.7627,                 1.8104,              0.0003368,              0.0003368,              0.0003368
                     86,                0.57339,                0.54236,                0.96846,                0.68725,                0.55018,                0.49992,                0.29326,                 1.7717,                 1.7999,                 1.7115,               0.000317,               0.000317,               0.000317
                     87,                0.58915,                0.57586,                0.99207,                0.68508,                 0.5625,                0.49772,                 0.2955,                 1.7633,                 1.7754,                 1.7469,              0.0002972,              0.0002972,              0.0002972
                     88,                0.57171,                0.58504,                0.97173,                0.68574,                0.54648,                0.49418,                0.28917,                 1.7609,                 1.7499,                 1.7889,              0.0002774,              0.0002774,              0.0002774
                     89,                0.52661,                0.55096,                0.97699,                 0.6805,                0.53372,                0.49469,                 0.2919,                 1.7103,                 1.7612,                 1.7688,              0.0002576,              0.0002576,              0.0002576
                     90,                0.53746,                0.54253,                0.96277,                0.61036,                    0.5,                0.47499,                 0.2863,                  1.679,                 1.7676,                 1.7475,              0.0002378,              0.0002378,              0.0002378
                     91,                0.62841,                0.94054,                 1.0665,                0.74371,                 0.4375,                0.47301,                 0.2978,                  1.634,                 1.7192,                 1.7125,               0.000218,               0.000218,               0.000218
                     92,                 0.5293,                 0.6595,                0.95075,                0.84927,                 0.4375,                 0.5111,                0.31282,                 1.6406,                 1.6638,                 1.7093,              0.0001982,              0.0001982,              0.0001982
                     93,                0.47337,                0.56355,                0.91517,                 0.7129,                    0.5,                0.52358,                0.29777,                 1.7063,                  1.628,                 1.7617,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.4613,                0.64768,                0.93606,                 0.6687,                    0.5,                0.51982,                0.28935,                 1.7454,                  1.633,                 1.7791,              0.0001586,              0.0001586,              0.0001586
                     95,                0.46477,                0.58124,                0.91397,                 0.8017,                0.50585,                0.53595,                0.29016,                 1.7861,                 1.6418,                 1.7812,              0.0001388,              0.0001388,              0.0001388
                     96,                0.45019,                0.55052,                0.90773,                0.79852,                0.49584,                0.54176,                 0.2891,                 1.8187,                 1.6713,                 1.8008,               0.000119,               0.000119,               0.000119
                     97,                0.42012,                0.50027,                0.89744,                0.79748,                0.49291,                 0.5328,                0.26694,                  1.846,                 1.6839,                 1.8115,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.45359,                0.53704,                0.92548,                0.79784,                0.49392,                0.53904,                0.26735,                 1.8616,                 1.6966,                 1.8234,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.41172,                0.49015,                0.87691,                0.79808,                0.49459,                0.49619,                0.25907,                 1.8765,                 1.7184,                 1.8207,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.45312,                0.52678,                0.92382,                 0.8152,                0.55225,                0.53992,                0.25681,                 1.9067,                 1.7401,                 1.8271,               3.98e-05,               3.98e-05,               3.98e-05
